iter	Logloss
0	0.6914338183
1	0.6891998061
2	0.687903349
3	0.6865069533
4	0.6846373675
5	0.6833667186
6	0.6814774275
7	0.6800943217
8	0.6784414346
9	0.6766540101
10	0.6747812807
11	0.6729793515
12	0.671880635
13	0.6705915817
14	0.6687430499
15	0.6672777515
16	0.6657887684
17	0.6642978941
18	0.6628123994
19	0.6620492373
20	0.6612907335
21	0.6603134694
22	0.6593768884
23	0.6581877918
24	0.656709302
25	0.6554055482
26	0.6540864354
27	0.6526368301
28	0.6517028341
29	0.6505126189
30	0.6491694692
31	0.6479404227
32	0.6466135011
33	0.6459566328
34	0.6447538717
35	0.6436958246
36	0.6425559515
37	0.6414853087
38	0.6404054169
39	0.6397001942
40	0.6387727985
41	0.6377184089
42	0.6364192947
43	0.6355027292
44	0.634630525
45	0.6336775413
46	0.632374481
47	0.6313363008
48	0.6304316496
49	0.6297163219
50	0.6290678421
51	0.6283379795
52	0.6275431842
53	0.6268821317
54	0.6262841579
55	0.6253028405
56	0.6247732717
57	0.6239413724
58	0.6233815311
59	0.6225690958
60	0.6218154891
61	0.6210209254
62	0.6197933226
63	0.6190621625
64	0.618396224
65	0.6174484086
66	0.6166076997
67	0.6155217431
68	0.614698192
69	0.6140458991
70	0.6135791368
71	0.6128195062
72	0.6121673561
73	0.611669327
74	0.6108386182
75	0.6098390394
76	0.6093522685
77	0.6088828462
78	0.6081074627
79	0.6075864001
80	0.6069220919
81	0.6062958789
82	0.6057522141
83	0.6051454498
84	0.6048382116
85	0.6042887515
86	0.6037315347
87	0.6032229254
88	0.602770692
89	0.6023488623
90	0.6017011474
91	0.6008562751
92	0.6002564607
93	0.5998813959
94	0.5992213353
95	0.5984202272
96	0.5979869985
97	0.5975584709
98	0.5970771465
99	0.5964985608
100	0.5960392837
101	0.5951509132
102	0.594364297
103	0.5937679843
104	0.593203408
105	0.5927699109
106	0.5920857444
107	0.5915612502
108	0.591128969
109	0.5908222608
110	0.590454692
111	0.590052046
112	0.5897281344
113	0.5891843296
114	0.5887762071
115	0.5883486053
116	0.5878317947
117	0.5872608745
118	0.5868037901
119	0.5864091542
120	0.5857857727
121	0.5852757472
122	0.5849137361
123	0.5845306076
124	0.5841386426
125	0.5835006887
126	0.5832719963
127	0.5828735965
128	0.5823561291
129	0.5819959126
130	0.5816420153
131	0.5811845952
132	0.580768475
133	0.5803024206
134	0.5799941493
135	0.5793999758
136	0.5789829493
137	0.5786311224
138	0.5780669663
139	0.5777744382
140	0.5775041456
141	0.5769487895
142	0.5765660758
143	0.5761768455
144	0.5757073775
145	0.5749431806
146	0.5745224897
147	0.5742556406
148	0.5737253777
149	0.5731764543
150	0.5727205142
151	0.5723325517
152	0.5718504464
153	0.5714892583
154	0.5710202979
155	0.5704704813
156	0.5700136669
157	0.5693425473
158	0.5690329478
159	0.5685816388
160	0.5679687646
161	0.5674696248
162	0.5672471631
163	0.5668403061
164	0.5662195223
165	0.5657515691
166	0.5654338676
167	0.5652078154
168	0.5648030523
169	0.5645749192
170	0.5639979801
171	0.5636393397
172	0.5631426275
173	0.5627202498
174	0.5624281541
175	0.5620439261
176	0.5616979552
177	0.561347321
178	0.5606759117
179	0.5604537862
180	0.5600710773
181	0.5598254369
182	0.5595117382
183	0.559241559
184	0.5587328268
185	0.5583152437
186	0.5579775902
187	0.5576533794
188	0.5573487295
189	0.5570375351
190	0.5567869162
191	0.5564360197
192	0.5559873879
193	0.5556304508
194	0.5553353595
195	0.5551589334
196	0.5548618598
197	0.5544984842
198	0.5539931717
199	0.5536215811
200	0.5533116551
201	0.5528078342
202	0.5524710224
203	0.5519922643
204	0.5514481883
205	0.5512039408
206	0.5509578672
207	0.5506589702
208	0.5504232268
209	0.5501727229
210	0.5498473804
211	0.5495239001
212	0.5491067506
213	0.5485447543
214	0.5481654198
215	0.547953454
216	0.547660455
217	0.5471686287
218	0.5469579618
219	0.5464348143
220	0.5460651254
221	0.5458917694
222	0.5456694121
223	0.5453744446
224	0.5451577051
225	0.544712378
226	0.5444036711
227	0.5440744483
228	0.5436281751
229	0.5433638028
230	0.5430742089
231	0.5428465295
232	0.5426262715
233	0.5424101511
234	0.542112089
235	0.5418237629
236	0.5416318858
237	0.5412927392
238	0.5411234836
239	0.5407941078
240	0.540396764
241	0.5402836606
242	0.5400508836
243	0.5399118033
244	0.5394902796
245	0.5391924513
246	0.538835755
247	0.5385806982
248	0.5382340387
249	0.537794586
250	0.5374647914
251	0.5370771383
252	0.5368984091
253	0.5365621634
254	0.5361521951
255	0.5359497009
256	0.5357403745
257	0.5355268757
258	0.5348262504
259	0.5345408012
260	0.5342886895
261	0.5339856258
262	0.5336497463
263	0.5333938822
264	0.5330112447
265	0.5326827865
266	0.5324214434
267	0.5320079565
268	0.531808771
269	0.5313796506
270	0.5310977216
271	0.5308869731
272	0.5306140191
273	0.5301576098
274	0.5297580843
275	0.529502241
276	0.5292063249
277	0.5289546254
278	0.5285887874
279	0.5284015582
280	0.5278994551
281	0.527670015
282	0.5274163093
283	0.5272780304
284	0.5270660081
285	0.5267785305
286	0.5264030308
287	0.526256135
288	0.5258629796
289	0.525397041
290	0.5251006153
291	0.5246122929
292	0.524377723
293	0.5242349964
294	0.5239778948
295	0.5236151493
296	0.5234676961
297	0.5231558628
298	0.522936416
299	0.5226506377
300	0.5223463783
301	0.5220138045
302	0.521755662
303	0.5215210915
304	0.5211969249
305	0.5209940961
306	0.5206344355
307	0.5202453161
308	0.5199039655
309	0.5196329353
310	0.5194897779
311	0.5192453446
312	0.5189704864
313	0.5187719712
314	0.518444638
315	0.5181767603
316	0.5179050758
317	0.5175938104
318	0.5170808739
319	0.5168887877
320	0.5166127633
321	0.5162078105
322	0.5160917091
323	0.5158028555
324	0.5153514021
325	0.5150019198
326	0.5146940667
327	0.5144548481
