iter	Passed	Remaining
269	2417	6535
270	2426	6527
271	2435	6518
272	2444	6509
273	2454	6503
274	2462	6491
275	2471	6484
276	2479	6472
277	2489	6464
278	2498	6456
279	2506	6445
280	2515	6436
281	2523	6425
282	2534	6420
283	2542	6409
284	2551	6401
285	2559	6390
286	2567	6379
287	2576	6369
288	2586	6362
289	2595	6354
290	2603	6342
291	2613	6336
292	2621	6326
293	2629	6315
294	2637	6303
295	2645	6293
296	2654	6283
297	2662	6271
298	2670	6261
299	2678	6249
300	2686	6237
301	2693	6226
302	2701	6214
303	2709	6202
304	2717	6191
305	2725	6180
306	2732	6168
307	2740	6156
308	2748	6145
309	2756	6134
310	2765	6125
311	2772	6114
312	2780	6103
313	2790	6095
314	2799	6088
315	2808	6079
316	2821	6079
317	2839	6089
318	2927	6249
319	2959	6288
320	2970	6283
321	2980	6276
322	2991	6269
323	3003	6266
324	3017	6267
325	3026	6257
326	3038	6253
327	3047	6244
328	3057	6235
329	3066	6224
330	3075	6216
331	3085	6208
332	3094	6198
333	3102	6185
334	3110	6174
335	3118	6162
336	3126	6150
337	3133	6137
338	3141	6125
339	3150	6114
340	3157	6102
341	3166	6091
342	3174	6080
343	3182	6068
344	3190	6056
345	3198	6044
346	3205	6032
347	3213	6020
348	3221	6009
349	3229	5997
350	3237	5986
351	3246	5976
352	3256	5969
353	3265	5958
354	3273	5946
355	3280	5935
356	3288	5923
357	3296	5912
358	3304	5900
359	3313	5889
360	3321	5879
361	3331	5871
362	3340	5861
363	3349	5852
364	3357	5840
365	3367	5834
366	3377	5826
367	3386	5815
368	3394	5805
369	3402	5794
370	3411	5783
371	3421	5776
372	3430	5766
373	3438	5756
374	3446	5744
375	3455	5735
376	3464	5725
377	3472	5713
378	3481	5704
379	3489	5693
380	3498	5683
381	3508	5675
382	3516	5664
383	3525	5654
384	3532	5643
385	3541	5632
386	3548	5621
387	3557	5611
388	3567	5602
389	3577	5595
390	3587	5588
391	3597	5580
392	3608	5572
393	3616	5563
394	3627	5556
395	3638	5549
396	3646	5538
397	3656	5531
398	3666	5522
399	3674	5512
400	3684	5503
401	3693	5494
402	3702	5485
403	3713	5478
404	3722	5468
405	3730	5458
406	3738	5446
407	3746	5436
408	3756	5428
409	3764	5417
410	3772	5406
411	3780	5395
412	3788	5385
413	3797	5375
414	3806	5365
415	3813	5354
416	3823	5345
417	3833	5337
418	3842	5328
419	3851	5319
420	3860	5309
421	3869	5300
422	3878	5290
423	3886	5280
424	3895	5269
425	3903	5260
426	3912	5250
427	3923	5242
428	3931	5232
429	3939	5222
430	3948	5212
431	3956	5202
432	3965	5192
433	3973	5182
434	3983	5173
435	3992	5165
436	4002	5156
437	4011	5147
438	4020	5137
439	4030	5129
440	4039	5120
441	4048	5110
442	4056	5100
443	4065	5090
444	4073	5079
445	4081	5069
446	4088	5058
447	4096	5047
448	4104	5037
449	4112	5026
450	4119	5014
451	4126	5003
452	4133	4991
453	4141	4980
454	4150	4971
455	4158	4960
456	4165	4949
457	4173	4939
458	4181	4928
459	4190	4918
460	4197	4907
461	4206	4898
462	4215	4889
463	4224	4879
464	4232	4869
465	4241	4859
466	4249	4849
467	4257	4839
468	4265	4829
469	4273	4819
470	4281	4808
471	4290	4799
472	4298	4789
473	4306	4778
474	4314	4768
475	4322	4757
476	4330	4748
477	4338	4738
478	4348	4729
479	4356	4719
480	4365	4710
481	4373	4700
482	4382	4690
483	4391	4682
484	4400	4673
485	4421	4675
486	4446	4684
487	4482	4702
488	4495	4697
489	4508	4692
490	4521	4687
491	4530	4678
492	4539	4668
493	4548	4659
494	4559	4651
495	4570	4643
496	4578	4633
497	4587	4623
498	4595	4613
499	4603	4603
500	4610	4592
501	4621	4584
502	4632	4577
503	4643	4570
504	4652	4560
505	4660	4549
506	4668	4539
507	4676	4529
508	4685	4519
509	4694	4510
510	4702	4500
511	4710	4489
512	4719	4479
513	4726	4469
514	4734	4458
515	4743	4448
516	4751	4439
517	4759	4428
518	4767	4418
519	4775	4407
520	4783	4397
521	4791	4387
522	4801	4379
523	4811	4370
524	4820	4361
525	4828	4351
526	4836	4341
527	4844	4330
528	4853	4320
529	4860	4310
530	4868	4300
531	4877	4290
532	4884	4279
533	4892	4269
534	4900	4259
535	4909	4249
536	4916	4239
537	4924	4228
538	4932	4218
539	4941	4209
540	4949	4199
541	4958	4189
542	4966	4179
543	4974	4169
544	4982	4160
545	4991	4150
546	4999	4140
547	5009	4131
548	5019	4123
549	5028	4114
550	5037	4104
551	5045	4095
552	5053	4085
553	5061	4075
554	5069	4064
555	5076	4054
556	5084	4043
557	5091	4033
558	5099	4022
559	5106	4012
560	5113	4001
561	5121	3991
562	5129	3981
563	5136	3970
564	5143	3960
565	5150	3949
566	5159	3939
567	5169	3931
568	5181	3924
569	5189	3915
570	5198	3905
571	5207	3896
572	5215	3886
573	5223	3876
574	5231	3866
575	5239	3857
576	5247	3847
577	5256	3837
578	5265	3828
579	5272	3818
580	5280	3807
581	5288	3798
582	5295	3788
583	5303	3777
584	5310	3767
585	5318	3757
586	5327	3748
587	5334	3737
588	5342	3727
589	5349	3717
590	5357	3707
591	5365	3697
592	5372	3687
593	5380	3677
594	5388	3667
595	5396	3657
596	5406	3649
597	5415	3640
598	5423	3630
599	5431	3621
600	5439	3611
601	5447	3601
602	5455	3591
603	5462	3581
604	5471	3571
605	5479	3562
606	5486	3552
607	5494	3542
608	5502	3532
609	5510	3522
610	5517	3513
611	5525	3503
612	5533	3493
613	5541	3483
614	5548	3473
615	5556	3463
616	5564	3454
617	5571	3444
618	5579	3434
619	5587	3424
620	5595	3415
621	5604	3406
622	5614	3397
623	5623	3388
624	5631	3378
625	5640	3369
626	5647	3359
627	5655	3350
628	5663	3340
629	5671	3331
630	5679	3321
631	5687	3311
632	5695	3302
633	5702	3292
634	5710	3282
635	5719	3273
636	5726	3263
637	5734	3253
638	5743	3244
639	5752	3235
640	5760	3226
641	5770	3217
642	5779	3208
643	5788	3199
644	5796	3190
645	5806	3181
646	5814	3172
647	5823	3163
648	5831	3153
649	5840	3145
650	5850	3136
651	5858	3126
652	5867	3117
653	5874	3108
654	5883	3098
655	5892	3089
656	5901	3081
657	5911	3072
658	5918	3062
659	5926	3053
660	5934	3043
661	5942	3034
662	5950	3024
663	5959	3015
664	5967	3006
665	5975	2996
666	5983	2987
667	5992	2978
668	6001	2969
669	6010	2960
670	6018	2951
671	6026	2941
672	6035	2932
673	6043	2923
674	6052	2914
675	6061	2905
676	6069	2895
677	6078	2886
678	6086	2877
679	6094	2867
680	6102	2858
681	6111	2849
682	6119	2840
683	6126	2830
684	6135	2821
685	6143	2811
686	6151	2802
687	6159	2793
688	6167	2783
689	6175	2774
690	6183	2765
691	6191	2755
692	6201	2747
693	6209	2738
694	6218	2729
695	6226	2719
696	6234	2710
697	6242	2700
698	6249	2691
699	6257	2681
700	6265	2672
701	6274	2663
702	6282	2654
703	6289	2644
704	6296	2634
705	6306	2626
706	6314	2616
707	6322	2607
708	6330	2598
709	6338	2589
710	6347	2580
711	6356	2571
712	6364	2561
713	6372	2552
714	6380	2543
715	6388	2534
716	6397	2525
717	6406	2516
718	6414	2506
719	6423	2497
720	6431	2488
721	6439	2479
722	6447	2470
723	6455	2460
724	6463	2451
725	6471	2442
726	6479	2433
727	6487	2423
728	6494	2414
729	6502	2405
730	6510	2395
731	6518	2386
732	6526	2377
733	6534	2368
734	6542	2358
735	6550	2349
736	6557	2340
737	6565	2330
738	6573	2321
739	6581	2312
740	6590	2303
741	6598	2294
742	6605	2284
743	6613	2275
744	6620	2266
745	6628	2256
746	6636	2247
747	6644	2238
748	6652	2229
749	6659	2219
750	6667	2210
751	6674	2201
752	6681	2191
753	6689	2182
754	6696	2173
755	6704	2163
756	6711	2154
757	6719	2145
758	6726	2135
759	6734	2126
760	6741	2117
761	6748	2107
762	6756	2098
763	6763	2089
764	6770	2079
765	6778	2070
766	6787	2061
767	6795	2052
768	6802	2043
769	6810	2034
770	6817	2024
771	6824	2015
772	6832	2006
773	6839	1997
774	6847	1987
775	6855	1978
776	6862	1969
777	6870	1960
778	6878	1951
779	6885	1942
780	6893	1932
781	6900	1923
782	6907	1914
783	6915	1905
784	6923	1896
785	6931	1887
786	6938	1877
787	6946	1868
788	6953	1859
789	6960	1850
790	6968	1841
791	6975	1832
792	6983	1822
793	6991	1814
794	6999	1804
795	7007	1795
796	7014	1786
797	7021	1777
798	7029	1768
799	7036	1759
800	7044	1750
801	7051	1740
802	7059	1731
803	7066	1722
804	7074	1713
805	7081	1704
806	7089	1695
807	7097	1686
808	7104	1677
809	7112	1668
810	7119	1659
811	7126	1650
812	7134	1640
813	7141	1631
814	7148	1622
815	7156	1613
816	7164	1604
817	7171	1595
818	7180	1586
819	7189	1578
820	7197	1569
821	7206	1560
822	7214	1551
823	7221	1542
824	7228	1533
825	7236	1524
826	7243	1515
827	7250	1506
828	7258	1497
829	7266	1488
830	7273	1479
831	7282	1470
832	7289	1461
833	7297	1452
834	7304	1443
835	7312	1434
836	7320	1425
837	7327	1416
838	7334	1407
839	7341	1398
840	7349	1389
841	7356	1380
842	7364	1371
843	7371	1362
844	7380	1353
845	7387	1344
846	7395	1335
847	7403	1327
848	7411	1318
849	7418	1309
850	7426	1300
851	7433	1291
852	7441	1282
853	7448	1273
854	7456	1264
855	7464	1255
856	7471	1246
857	7479	1237
858	7487	1229
859	7495	1220
860	7502	1211
861	7509	1202
862	7516	1193
863	7523	1184
864	7531	1175
865	7539	1166
866	7547	1157
867	7555	1148
868	7563	1140
869	7571	1131
870	7578	1122
871	7586	1113
872	7595	1104
873	7604	1096
874	7612	1087
875	7620	1078
876	7629	1070
877	7638	1061
878	7647	1052
879	7655	1043
880	7664	1035
881	7672	1026
882	7680	1017
883	7689	1009
884	7698	1000
885	7706	991
886	7714	982
887	7722	974
888	7731	965
889	7739	956
890	7747	947
891	7755	939
892	7764	930
893	7772	921
894	7780	912
895	7789	904
896	7799	895
897	7807	886
898	7815	878
899	7823	869
900	7832	860
901	7841	851
902	7849	843
903	7857	834
904	7866	825
905	7875	817
906	7885	808
907	7893	799
908	7902	791
909	7910	782
910	7918	773
911	7926	764
912	7935	756
913	7943	747
914	7952	738
915	7960	730
916	7969	721
917	7978	712
918	7987	703
919	7996	695
920	8006	686
921	8015	678
922	8023	669
923	8032	660
924	8041	652
925	8050	643
926	8060	634
927	8069	626
928	8080	617
929	8089	608
930	8098	600
931	8106	591
932	8115	582
933	8123	574
934	8132	565
935	8140	556
936	8149	547
937	8158	539
938	8167	530
939	8175	521
940	8184	513
941	8194	504
942	8203	495
943	8212	487
944	8221	478
945	8229	469
946	8238	461
947	8246	452
948	8255	443
949	8263	434
950	8274	426
951	8283	417
952	8291	408
953	8300	400
954	8308	391
955	8317	382
956	8326	374
957	8334	365
958	8342	356
959	8351	347
960	8360	339
961	8369	330
962	8378	321
963	8386	313
964	8395	304
965	8405	295
966	8415	287
967	8424	278
968	8434	269
969	8443	261
970	8452	252
971	8461	243
972	8470	235
973	8480	226
974	8489	217
975	8499	209
976	8508	200
977	8516	191
978	8525	182
979	8534	174
980	8542	165
981	8551	156
982	8560	148
983	8569	139
984	8578	130
985	8586	121
986	8595	113
987	8604	104
988	8614	95
989	8624	87
990	8633	78
991	8641	69
992	8651	60
993	8660	52
994	8669	43
995	8680	34
996	8689	26
997	8698	17
998	8707	8
999	8716	0
